"","Top","p.value","FDR","summary.AUC","AUC.2","AUC.3","AUC.4","AUC.5"
"Med26",11824,1,1,0.50050722746521,0.50050722746521,0.515134734979928,0.491288370297085,0.502102891722783
"Smim7",11825,1,1,0.494478166067535,0.494478166067535,0.539016125739947,0.5833782101954,0.434796214531791
"Tmem38a",11826,1,1,0.500778422277037,0.500778422277037,0.505041028781384,0.50266148958701,0.481015597378785
"Nwd1",11827,1,1,0.501617038352851,0.501617038352851,0.500760944410424,0.501183221224038,0.502065727699531
"Sin3b",11828,1,1,0.53190097348386,0.53190097348386,0.377154739062394,0.417388242858729,0.434994367841609
"F2rl3",11829,1,1,0.501071225119195,0.501071225119195,0.50042355582772,0.500426529053128,0.491586788683062
"Large1",11830,1,1,0.532391952832757,0.532391952832757,0.473441790841668,0.439461311935621,0.504488460241895
"Gm11033",11831,1,1,0.500093896713615,0.500093896713615,0.500093896713615,0.500093896713615,0.500093896713615
"Hmgxb4",11832,1,1,0.506336653112539,0.506336653112539,0.606343022385521,0.510744428922044,0.534411090007647
"Gm45822",11833,1,1,0.5,0.5,0.5,0.499823508648076,0.5
"Tom1",11834,1,1,0.481151960577973,0.481151960577973,0.439459236578894,0.420924300953385,0.436225056116031
"Gm45820",11835,1,1,0.5,0.5,0.499927536231884,0.499911754324038,0.5
"Rasd2",11837,1,1,0.50018779342723,0.50018779342723,0.499970402122882,0.499746614763294,0.498436479942116
"Gm10358",11838,1,1,0.5,0.5,0.5,0.499911754324038,0.5
